number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
50,feature_0.1,local_min_max,MNIST,2,2,0.7627,0.74703207,1.826145649,0.773855027,0.7627,0.742333353,2.807528019
50,feature_0.1,local_z_score,MNIST,2,8,0.9345,0.93444844,1.302662373,0.934647255,0.9345,0.930666685,1.713648796
50,feature_0.1,default,MNIST,3,48,0.9779,0.977907382,0.078549579,0.977967279,0.9779,0.975833356,0.096115865
50,feature_0.1,default,MNIST,1,60,0.9798,0.979805154,0.078575283,0.979860547,0.9798,0.979333341,0.096826114
20,feature_0.01,default,MNIST,2,20,0.9797,0.979686897,0.065352157,0.979729305,0.9797,0.978333354,0.086757123
20,feature_0.01,federated_robust_scaling,MNIST,2,60,0.6178,0.632059372,1.21636939,0.722104238,0.6178,0.623000026,1.146593571
50,feature_0.1,federated_robust_scaling,MNIST,3,60,0.7645,0.763859365,0.77603507,0.767111183,0.7645,0.759000003,0.767760813
20,feature_0.01,federated_min_max,MNIST,2,60,0.9899,0.989896362,0.035731297,0.989903075,0.9899,0.98816669,0.044530906
50,feature_0.1,federated_robust_scaling,MNIST,1,60,0.7534,0.753196723,0.80103451,0.758256694,0.7534,0.756833315,0.793670952
20,feature_0.01,federated_z_score,MNIST,2,52,0.9895,0.98949673,0.120716624,0.989504639,0.9895,0.988333344,0.042910136
20,feature_0.01,local_robust_scaling,MNIST,2,47,0.7128,0.712647189,1.307159185,0.72962967,0.7128,0.712833345,1.19848752
50,feature_0.1,federated_min_max,MNIST,3,60,0.9842,0.984197279,0.048207164,0.984228417,0.9842,0.979499996,0.064579137
50,feature_0.1,federated_min_max,MNIST,1,60,0.9838,0.983790848,0.051731084,0.983810651,0.9838,0.978833318,0.069454022
20,feature_0.01,instance_norm,MNIST,2,26,0.9873,0.98729429,0.043606125,0.987311703,0.9873,0.987833321,0.050320379
20,feature_0.01,group_norm,MNIST,2,28,0.9882,0.988195585,0.035821036,0.988210647,0.9882,0.985666692,0.051970422
50,feature_0.1,federated_z_score,MNIST,3,48,0.9816,0.981593188,0.056593213,0.981608537,0.9816,0.978333354,0.078483053
20,feature_0.01,layer_norm,MNIST,2,31,0.9859,0.985894923,0.049362089,0.985903756,0.9859,0.985499978,0.057170607
50,feature_0.1,federated_z_score,MNIST,1,52,0.9818,0.981792875,0.054837946,0.98181964,0.9818,0.978833318,0.071731456
20,feature_0.01,batch_norm,MNIST,2,37,0.9899,0.989898363,0.038267087,0.989900352,0.9899,0.986166656,0.054943614
20,feature_0.01,local_min_max,MNIST,2,1,0.8084,0.808278463,1.976794958,0.827427684,0.8084,0.791999996,2.188992023
20,feature_0.01,local_z_score,MNIST,2,3,0.9378,0.937751884,3.795624971,0.93785228,0.9378,0.936333358,1.852569461
50,feature_0.1,local_robust_scaling,MNIST,3,60,0.7449,0.742774265,1.381742716,0.74688701,0.7449,0.748000026,1.206352353
20,feature_0.1,default,MNIST,2,29,0.9822,0.982198275,0.067907192,0.982206537,0.9822,0.981166661,0.086004376
50,feature_0.1,local_robust_scaling,MNIST,1,60,0.7332,0.731768082,1.49760139,0.736964377,0.7332,0.730666637,1.294698596
20,feature_0.1,federated_robust_scaling,MNIST,2,60,0.8765,0.87586965,0.394291848,0.876928668,0.8765,0.875166655,0.391011238
20,feature_0.1,federated_min_max,MNIST,2,60,0.99,0.989999165,0.028618366,0.99000817,0.99,0.987999976,0.045568146
20,feature_0.1,federated_z_score,MNIST,2,45,0.9873,0.987294907,0.038800459,0.987303119,0.9873,0.986666679,0.05403588
50,feature_0.1,instance_norm,MNIST,3,52,0.9853,0.985296142,0.047861829,0.985311761,0.9853,0.983166695,0.060321372
50,feature_0.1,instance_norm,MNIST,1,60,0.9842,0.984196733,0.04918405,0.984211668,0.9842,0.985666692,0.056600608
20,feature_0.1,local_robust_scaling,MNIST,2,60,0.7994,0.800539427,0.921951354,0.804662715,0.7994,0.805333316,0.81121099
20,feature_0.1,instance_norm,MNIST,2,32,0.988,0.988000159,0.040858667,0.988016117,0.988,0.984000027,0.055958394
20,feature_0.1,group_norm,MNIST,2,32,0.9883,0.988299047,0.036049794,0.988313188,0.9883,0.987833321,0.05037728
20,feature_0.1,layer_norm,MNIST,2,27,0.9874,0.987398991,0.040177051,0.987406302,0.9874,0.985833347,0.04958754
50,feature_0.1,group_norm,MNIST,3,60,0.9869,0.98689517,0.043653008,0.986924096,0.9869,0.98483336,0.055528294
50,feature_0.1,group_norm,MNIST,1,60,0.9849,0.984890304,0.048339449,0.984899937,0.9849,0.985499978,0.057131216
20,feature_0.1,batch_norm,MNIST,2,30,0.9879,0.987892578,0.038615782,0.987906933,0.9879,0.985000014,0.058153503
20,feature_0.1,local_min_max,MNIST,2,13,0.9703,0.970276192,0.288610339,0.9703276,0.9703,0.964166641,0.203885421
20,feature_0.1,local_z_score,MNIST,2,2,0.9228,0.922652615,0.431463271,0.922706243,0.9228,0.916166663,0.744638741
10,feature_0.01,default,MNIST,2,20,0.9843,0.984297922,0.05799507,0.984329396,0.9843,0.984499991,0.060470264
10,feature_0.01,federated_robust_scaling,MNIST,2,60,0.8021,0.804202282,0.637327135,0.811107504,0.8021,0.805999994,0.617393017
10,feature_0.01,federated_min_max,MNIST,2,32,0.9902,0.990196336,0.058140833,0.990205833,0.9902,0.986833334,0.046220865
10,feature_0.01,federated_z_score,MNIST,2,26,0.9874,0.987394551,0.039695334,0.987404589,0.9874,0.987500012,0.04390616
50,feature_0.1,layer_norm,MNIST,3,60,0.9869,0.986900043,0.042725708,0.986924972,0.9869,0.983833313,0.058630683
50,feature_0.1,layer_norm,MNIST,1,49,0.9865,0.986498901,0.04667123,0.986529667,0.9865,0.980833352,0.067496978
10,feature_0.01,local_robust_scaling,MNIST,2,60,0.7632,0.766804856,1.113716364,0.773924842,0.7632,0.757000029,1.072181463
10,feature_0.01,instance_norm,MNIST,2,17,0.9873,0.987300086,0.038087096,0.987319035,0.9873,0.987166643,0.045181237
10,feature_0.01,group_norm,MNIST,2,15,0.9878,0.98779732,0.035467174,0.98780536,0.9878,0.986000001,0.050601024
10,feature_0.01,layer_norm,MNIST,2,16,0.9889,0.988896859,0.036829479,0.988902251,0.9889,0.985333323,0.054715298
10,feature_0.01,batch_norm,MNIST,2,25,0.99,0.989997589,0.030856283,0.990014335,0.99,0.988666654,0.047276076
10,feature_0.01,local_min_max,MNIST,2,7,0.9759,0.975882409,0.611328542,0.975910677,0.9759,0.97116667,0.479330838
50,feature_0.1,batch_norm,MNIST,3,60,0.9866,0.986591323,0.042745575,0.986604993,0.9866,0.984333336,0.055319037
50,feature_0.1,batch_norm,MNIST,1,60,0.9873,0.987296837,0.037541982,0.987305479,0.9873,0.983833313,0.062257234
50,feature_0.1,local_min_max,MNIST,1,7,0.9187,0.918536218,1.013162494,0.918542568,0.9187,0.906166673,2.579300165
50,feature_0.1,local_min_max,MNIST,3,11,0.9326,0.932658623,0.585570633,0.932969763,0.9326,0.920666695,1.106418014
50,feature_0.1,local_z_score,MNIST,3,2,0.8477,0.846557098,1.364991784,0.846771513,0.8477,0.840166688,1.328130007
50,feature_0.1,local_z_score,MNIST,1,10,0.9402,0.940097328,1.43404305,0.940125606,0.9402,0.941833317,1.201660037
20,feature_0.01,default,MNIST,3,19,0.9806,0.98060153,0.064820163,0.980640206,0.9806,0.977666676,0.082719639
20,feature_0.01,default,MNIST,1,25,0.9837,0.983696114,0.061179888,0.983701991,0.9837,0.980833352,0.078789413
20,feature_0.01,federated_robust_scaling,MNIST,3,60,0.8045,0.804764516,0.649813354,0.807417601,0.8045,0.79733336,0.646283627
20,feature_0.01,federated_robust_scaling,MNIST,1,33,0.6153,0.626134819,1.19297123,0.728234957,0.6153,0.61316669,1.182768703
20,feature_0.01,federated_min_max,MNIST,3,60,0.9886,0.988595306,0.053955574,0.988607393,0.9886,0.985833347,0.050886657
20,feature_0.01,federated_min_max,MNIST,1,60,0.989,0.988996762,0.068980478,0.98900824,0.989,0.987333357,0.046524107
20,feature_0.01,federated_z_score,MNIST,3,40,0.9882,0.988198179,0.094998181,0.988215135,0.9882,0.986166656,0.057523772
20,feature_0.01,federated_z_score,MNIST,1,60,0.9886,0.988597234,0.110211477,0.988605848,0.9886,0.988666654,0.046040554
20,feature_0.01,local_robust_scaling,MNIST,3,48,0.7053,0.702991939,1.337401032,0.712674429,0.7053,0.703833342,1.277209163
20,feature_0.01,local_robust_scaling,MNIST,1,35,0.6977,0.696613928,1.401713371,0.713997483,0.6977,0.683833361,1.316720486
20,feature_0.01,instance_norm,MNIST,3,28,0.9851,0.985094336,0.047221679,0.985102703,0.9851,0.986500025,0.057469204
20,feature_0.01,instance_norm,MNIST,1,42,0.988,0.987995652,0.039315835,0.988012215,0.988,0.987333357,0.052978575
20,feature_0.01,group_norm,MNIST,3,34,0.9893,0.989300416,0.03449554,0.989319519,0.9893,0.987666667,0.048508663
20,feature_0.01,group_norm,MNIST,1,35,0.9889,0.988894226,0.035998337,0.988907302,0.9889,0.987500012,0.048410844
20,feature_0.01,layer_norm,MNIST,3,33,0.9891,0.989096171,0.037592206,0.989109028,0.9891,0.985666692,0.047888543
20,feature_0.01,layer_norm,MNIST,1,26,0.9878,0.987792506,0.037902087,0.987800666,0.9878,0.987666667,0.045657426
20,feature_0.01,batch_norm,MNIST,3,26,0.9876,0.987591478,0.038611889,0.987603,0.9876,0.986833334,0.048332091
20,feature_0.01,local_min_max,MNIST,3,1,0.0935,0.022720761,2.796229124,0.095263462,0.0935,0.09533333,2.82276082
20,feature_0.01,batch_norm,MNIST,1,27,0.9889,0.988896642,0.034957521,0.988906462,0.9889,0.986166656,0.051615611
20,feature_0.01,local_z_score,MNIST,3,3,0.9316,0.931509042,3.631851912,0.931637233,0.9316,0.927999973,4.021990776
20,feature_0.01,local_min_max,MNIST,1,1,0.0897,0.025405959,2.929142475,0.117067957,0.0897,0.086999997,2.718015194
20,feature_0.01,local_z_score,MNIST,1,7,0.963,0.962959972,2.162724257,0.962973249,0.963,0.958500028,3.421270132
