number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
30,quantity_0.7,federated_yeo_johnson,BCW,1,142,0.9736841917037964,0.9655172413793104,0.088314749,0.9545454545454546,0.9767441860465116,0.934782624,0.13819171488285065
30,quantity_0.7,local_yeo_johnson,BCW,1,50,0.9035087823867798,0.8764044943820225,0.5173338651657104,0.8478260869565217,0.9069767441860463,0.8913043737411499,0.5186460614204407
30,quantity_5.0,federated_yeo_johnson,BCW,1,142,0.9824561476707458,0.9767441860465116,0.11658143997192384,0.9767441860465116,0.9767441860465116,0.978260875,0.18614964187145233
30,quantity_5.0,local_yeo_johnson,BCW,1,142,0.921052635,0.896551724,0.17470332980155945,0.8863636363636364,0.9069767441860463,0.913043499,0.2257595956325531
30,label_0.5,federated_yeo_johnson,BCW,1,142,0.9736841917037964,0.9655172413793104,0.089134723,0.9545454545454546,0.9767441860465116,0.956521749,0.12278620898723602
30,label_0.5,local_yeo_johnson,BCW,1,142,0.921052635,0.9010989010989012,0.1912294626235962,0.8541666666666666,0.9534883720930232,0.913043499,0.1570577472448349
30,label_5.0,federated_yeo_johnson,BCW,1,142,0.9736841917037964,0.9662921348314608,0.09026435,0.9347826086956522,1,0.913043499,0.157071054
30,label_5.0,local_yeo_johnson,BCW,1,142,0.9122806787490844,0.8863636363636364,0.1306687444448471,0.8666666666666667,0.9069767441860463,0.934782624,0.13302193582057953
30,feature_0.7,federated_yeo_johnson,BCW,1,142,0.9561403393745422,0.942528736,0.11238744854927064,0.9318181818181818,0.9534883720930232,0.913043499,0.19708040356636047
30,feature_0.7,local_yeo_johnson,BCW,1,142,0.938596487,0.9213483146067416,0.19870200753211975,0.8913043478260869,0.9534883720930232,0.8695651888847351,0.28351929783821106
30,feature_0.3,federated_yeo_johnson,BCW,1,142,0.9561403393745422,0.9438202247191012,0.1447187513113022,0.9130434782608696,0.9767441860465116,0.913043499,0.2275242954492569
30,feature_0.3,local_yeo_johnson,BCW,1,142,0.9736841917037964,0.9655172413793104,0.1479160636663437,0.9545454545454546,0.9767441860465116,0.913043499,0.22257313132286072
30,default,federated_yeo_johnson,BCW,1,142,0.9736841917037964,0.9655172413793104,0.11076229810714722,0.9545454545454546,0.9767441860465116,0.978260875,0.1440286487340927
30,default,local_yeo_johnson,BCW,1,142,0.938596487,0.9176470588235294,0.16886015236377716,0.9285714285714286,0.9069767441860463,0.934782624,0.20762015879154205
20,quantity_0.7,federated_yeo_johnson,BCW,1,108,0.9736841917037964,0.9655172413793104,0.058112822,0.9545454545454546,0.9767441860465116,0.978260875,0.078143857
20,quantity_0.7,local_yeo_johnson,BCW,1,142,0.938596487,0.9213483146067416,1.0272520780563354,0.8913043478260869,0.9534883720930232,0.978260875,0.12512686848640442
20,quantity_5.0,federated_yeo_johnson,BCW,1,142,0.9912280440330504,0.9882352941176472,0.066476643,1,0.9767441860465116,0.978260875,0.077193826
20,quantity_5.0,local_yeo_johnson,BCW,1,142,0.9561403393745422,0.942528736,0.12693119049072266,0.9318181818181818,0.9534883720930232,0.956521749,0.142270029
20,label_0.5,federated_yeo_johnson,BCW,1,142,0.9824561476707458,0.9767441860465116,0.060265191,0.9767441860465116,0.9767441860465116,0.978260875,0.086765796
20,label_0.5,local_yeo_johnson,BCW,1,142,0.938596487,0.9247311827956988,0.14987774193286896,0.86,1,0.956521749,0.13377010822296145
20,label_5.0,federated_yeo_johnson,BCW,1,142,0.9912280440330504,0.9882352941176472,0.062074184,1,0.9767441860465116,0.978260875,0.083988853
20,label_5.0,local_yeo_johnson,BCW,1,142,0.9736841917037964,0.9662921348314608,0.091946661,0.9347826086956522,1,0.934782624,0.11840786039829254
20,feature_0.7,federated_yeo_johnson,BCW,1,142,0.9649122953414916,0.9545454545454546,0.10509315133094788,0.9333333333333332,0.9767441860465116,0.913043499,0.17822661995887756
30,quantity_0.7,federated_yeo_johnson,BCW,2,142,0.9912280440330504,0.9882352941176472,0.052451036870479584,1,0.9767441860465116,0.978260875,0.064904153
30,quantity_0.7,local_yeo_johnson,BCW,2,142,0.8421052694320679,0.8163265306122449,1.542073130607605,0.7272727272727273,0.9302325581395348,0.978260875,0.10980167239904404
30,quantity_5.0,federated_yeo_johnson,BCW,2,142,0.9561403393745422,0.9438202247191012,0.094116397,0.9130434782608696,0.9767441860465116,0.978260875,0.10744712501764296
30,quantity_5.0,local_yeo_johnson,BCW,2,142,0.921052635,0.896551724,0.15888556838035583,0.8863636363636364,0.9069767441860463,0.934782624,0.16451318562030792
30,label_0.5,federated_yeo_johnson,BCW,2,142,0.9736841917037964,0.9662921348314608,0.089445665,0.9347826086956522,1,0.978260875,0.091301441
30,label_0.5,local_yeo_johnson,BCW,2,142,0.8947368264198303,0.875,0.2866058051586151,0.7924528301886793,0.9767441860465116,0.804347813,0.33159488439559937
30,label_5.0,federated_yeo_johnson,BCW,2,142,0.9649122953414916,0.9534883720930232,0.13485470414161682,0.9534883720930232,0.9534883720930232,0.978260875,0.15749360620975494
30,label_5.0,local_yeo_johnson,BCW,2,142,0.9561403393745422,0.9397590361445785,0.19733090698719025,0.975,0.9069767441860463,0.913043499,0.2115848213434219
30,feature_0.7,federated_yeo_johnson,BCW,2,142,0.9473684430122375,0.9318181818181818,0.1167638897895813,0.9111111111111112,0.9534883720930232,0.934782624,0.19138427078723907
30,feature_0.7,local_yeo_johnson,BCW,2,142,0.9298245906829834,0.9069767441860463,0.3143582344055176,0.9069767441860463,0.9069767441860463,0.8478260636329651,0.38774242997169495
30,feature_0.3,federated_yeo_johnson,BCW,2,142,0.9736841917037964,0.9647058823529412,0.094592839,0.9761904761904762,0.9534883720930232,0.934782624,0.1855935901403427
30,feature_0.3,local_yeo_johnson,BCW,2,142,0.9035087823867798,0.8865979381443299,0.24278253316879272,0.7962962962962963,1,0.8695651888847351,0.30041325092315674
30,default,federated_yeo_johnson,BCW,2,142,0.9736841917037964,0.9662921348314608,0.096393153,0.9347826086956522,1,0.978260875,0.13292597234249115
30,quantity_0.7,federated_yeo_johnson,BCW,3,142,0.9649122953414916,0.9545454545454546,0.094757468,0.9333333333333332,0.9767441860465116,0.956521749,0.14215239882469177
30,quantity_0.7,local_yeo_johnson,BCW,3,142,0.8947368264198303,0.8571428571428571,0.27180811762809753,0.8780487804878049,0.8372093023255814,0.934782624,0.16898739337921145
30,quantity_5.0,federated_yeo_johnson,BCW,3,142,0.9912280440330504,0.9885057471264368,0.094720446,0.9772727272727272,1,0.956521749,0.1336326003074646
30,quantity_5.0,local_yeo_johnson,BCW,3,142,0.9473684430122375,0.9285714285714286,0.15056121349334717,0.951219512,0.9069767441860463,0.913043499,0.2228722423315048
30,label_0.5,federated_yeo_johnson,BCW,3,142,0.9473684430122375,0.9333333333333332,0.1565900444984436,0.8936170212765957,0.9767441860465116,0.978260875,0.19590303301811215
30,label_0.5,local_yeo_johnson,BCW,3,142,0.938596487,0.9247311827956988,0.128742516,0.86,1,0.8913043737411499,0.24372905492782593
30,label_5.0,federated_yeo_johnson,BCW,3,142,0.9736841917037964,0.9655172413793104,0.080557495,0.9545454545454546,0.9767441860465116,0.978260875,0.098426394
30,label_5.0,local_yeo_johnson,BCW,3,142,0.921052635,0.9032258064516128,0.17667774856090546,0.84,0.9767441860465116,0.913043499,0.2516433000564575
30,feature_0.7,federated_yeo_johnson,BCW,3,142,0.9473684430122375,0.9318181818181818,0.1859675794839859,0.9111111111111112,0.9534883720930232,0.934782624,0.2340252250432968
30,feature_0.7,local_yeo_johnson,BCW,3,142,0.938596487,0.9176470588235294,0.19326134026050568,0.9285714285714286,0.9069767441860463,0.8913043737411499,0.2595539391040802
30,feature_0.3,federated_yeo_johnson,BCW,3,142,0.9736841917037964,0.9655172413793104,0.10994454473257063,0.9545454545454546,0.9767441860465116,0.913043499,0.20726610720157623
30,feature_0.3,local_yeo_johnson,BCW,3,142,0.9824561476707458,0.9767441860465116,0.10945648699998856,0.9767441860465116,0.9767441860465116,0.8695651888847351,0.29276061058044434
30,default,federated_yeo_johnson,BCW,3,142,0.9736841917037964,0.9655172413793104,0.082821362,0.9545454545454546,0.9767441860465116,0.978260875,0.096549943
30,default,local_yeo_johnson,BCW,3,142,0.9736841917037964,0.9647058823529412,0.11552029103040697,0.9761904761904762,0.9534883720930232,0.934782624,0.1885986775159836
20,quantity_0.7,federated_yeo_johnson,BCW,3,122,0.9912280440330504,0.9882352941176472,0.04212264,1,0.9767441860465116,0.978260875,0.047353412955999374
30,default,local_yeo_johnson,BCW,2,142,0.9561403393745422,0.942528736,0.2277839630842209,0.9318181818181818,0.9534883720930232,0.934782624,0.2026415914297104
20,quantity_0.7,local_yeo_johnson,BCW,3,142,0.9298245906829834,0.9130434782608696,5.831185340881348,0.8571428571428571,0.9767441860465116,0.978260875,0.054882340133190155
20,quantity_0.7,federated_yeo_johnson,BCW,2,142,0.9736841917037964,0.9655172413793104,0.0732283,0.9545454545454546,0.9767441860465116,0.978260875,0.054690838
