number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
20,quantity_5.0,default,Parkinson’s,3,4,145.40896606445312,9.410958982388626,-0.289049303,115.15491485595705,0.031085254113255245
20,label_5.0,local_robust_scaling,Parkinson’s,2,84,47.15266418457031,5.338783585591166,0.575652957,49.16566086,0.6028756644348361
20,label_5.0,group_norm,Parkinson’s,2,32,102.26226806640624,7.621873276831325,0.079698102,114.7168960571289,0.073400747
20,label_5.0,layer_norm,Parkinson’s,2,84,81.47052001953125,7.044987841985496,0.26681197772518594,94.08587646484376,0.24004297133252017
20,label_5.0,batch_norm,Parkinson’s,2,43,76.96949768066406,7.009879993976615,0.30731885343731347,89.32115936279297,0.2785287213112574
20,label_5.0,local_min_max,Parkinson’s,2,84,65.30543518066406,6.210402064956444,0.4122884350103879,71.19720458984375,0.4249208780868434
20,label_5.0,local_z_score,Parkinson’s,2,84,34.94728088378906,4.460157299852818,0.6854944934088821,35.94694519042969,0.7096467468897663
20,label_5.0,federated_yeo_johnson,Parkinson’s,2,84,37.067649841308594,4.656923053934629,0.6664122703200956,38.622772216796875,0.6880333709393599
20,label_5.0,local_yeo_johnson,Parkinson’s,2,84,42.48361587524414,4.955945439553809,0.6176716797284654,43.780487060546875,0.6463731
20,feature_0.7,default,Parkinson’s,2,2,174.09097290039062,10.420203578055952,-0.566718736,132.87721252441406,-0.073285284
20,feature_0.7,federated_robust_scaling,Parkinson’s,2,84,46.46394348144531,5.317972459610649,0.5818510514848673,49.413780212402344,0.6008715337682082
20,feature_0.7,federated_min_max,Parkinson’s,2,84,54.74129486083984,5.618498654144886,0.5073596310787336,58.472354888916016,0.5277028438086233
20,feature_0.7,federated_z_score,Parkinson’s,2,84,37.27452469,4.677876333,0.6645506360852256,39.32271957397461,0.682379695
20,feature_0.7,local_robust_scaling,Parkinson’s,2,2,881.8055419921875,18.40152591831633,-6.93574362,396.0871582,-2.199303941
20,feature_0.7,instance_norm,Parkinson’s,2,3,116.2126235961914,8.373313982152654,-0.045846976,128.04042053222656,-0.034217141
20,feature_0.7,group_norm,Parkinson’s,2,4,124.37510681152344,8.659387968092297,-0.11930489,127.1684799194336,-0.027174265
20,quantity_0.7,batch_norm,Parkinson’s,3,10,80.91150665283203,7.211438364128769,0.28272023285107606,79.70585632324219,0.32935409681076067
20,feature_0.7,layer_norm,Parkinson’s,2,39,104.06826782226562,7.781214843315521,0.063445111,114.86248779296876,0.072224568
20,feature_0.7,batch_norm,Parkinson’s,2,50,81.75923156738281,7.021949114560958,0.2642136023173226,95.64834594726562,0.22742234761124047
20,feature_0.7,local_min_max,Parkinson’s,2,13,180.0336914,9.390720136196595,-0.620200423,163.27796936035156,-0.318840592
20,quantity_0.7,local_min_max,Parkinson’s,3,84,61.093875885009766,6.087109611222444,0.45840346736317605,55.977108001708984,0.5290079236394851
20,feature_0.7,local_z_score,Parkinson’s,2,1,1274.7486572265625,22.077274061563664,-10.47200882,591.1422729492188,-3.774815967
20,feature_0.7,federated_yeo_johnson,Parkinson’s,2,84,33.66921615600586,4.412251571858204,0.6969962400319829,35.25785827636719,0.7152127417459045
20,feature_0.7,local_yeo_johnson,Parkinson’s,2,0,35843128,396.5448827542239,-322566.6378,4992881.5,-40327.85804
20,feature_0.3,default,Parkinson’s,2,1,185.9776153564453,10.84665586364694,-0.673691702,143.36062622070312,-0.157962533
